comment_text,label,platform,note
Can't get over the top tbh,0,instagram,emotional praise no intent
Girl what was the first product that you used I'm so intrigued,1,instagram,product question = intent
Gorgeous girl,0,instagram,compliment
my legs just purred bic here I come,1,instagram,slangy intent VADER would miss
I want the pink omg!,1,instagram,explicit desire to own
Ouu this one looks gorg,0,instagram,admiration not intent
Definitely getting this!,1,instagram,stated purchase intent
I use this....it's very niceee,0,instagram,owns it already no new intent
ouu lemme go buy the pink!,1,instagram,explicit buy intent
Your pictures are so pleasing,0,instagram,pure compliment
want the outfit on the 3rd slide. The brand please,1,instagram,intent under emoji decoration
CLEAN AHHH TRANSITION,0,instagram,engagement not intent
how can I participate in the giveaway,0,youtube,giveaway not purchase
Hi would you recommend the hotel? From [location],1,youtube,recommendation-seeking = intent
[creator] why did u stop listing the links to your outfits as before?,1,youtube,asking for buy links
Hi [creator] can you please share the brand of the comb brush you used?,1,youtube,brand question = intent
where's the dinner spot at 27:35 please?,1,youtube,source question = intent
Where are the white pants and yellow top from?,1,youtube,source dressed as compliment
What mini camera is that you use? Quality is amazing,1,youtube,product question with praise
guys does anyone know where the dress at the 27th minute is from please?,1,youtube,source question
Someone tell me where I can find a top like this!,1,youtube,explicit source-seeking
omg i need a pen for my freckles which do you use?,1,youtube,product question = intent
not the bbl dance,0,youtube,joke no intent
Everything about this vlog made me thrilled,0,youtube,emotional praise no intent
omg im deffo buying those jeans when I get paid,1,youtube,explicit future purchase
